"Year - 2006"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",5.08765168583738
"Canton Capellen",3.69432260455921
"Dippach",4.14507772020725
"Garnich",2.60736196319018
"Hobscheid",4.51882845188285
"Käerjeng",4.01218892839005
"Kehlen",3.48717948717949
"Koerich",2.26244343891403
"Kopstal",3.06122448979592
"Mamer",3.47563279183982
"Septfontaines",3.23624595469256
"Steinfort",4.17547568710359
"Canton Esch",6.13734398320513
"Bettembourg",4.39314966492926
"Differdange",7.9032065800453
"Dudelange",5.68137698977611
"Esch-sur-Alzette",8.714133900106271
"Frisange",2.73972602739726
"Kayl",5.59461938245185
"Leudelange",2.7455121436114
"Mondercange",3.46978557504873
"Pétange",6.30306988896146
"Reckange-sur-Mess",1.91011235955056
"Roeser",3.45285524568393
"Rumelange",6.97179350718467
"Sanem",4.6801872074883
"Schifflange",5.21454112038141
"Canton Luxembourg",4.84135522672358
"Bertrange",3.42019543973941
"Contern",3.10457516339869
"Hesperange",3.82420091324201
"Luxembourg",5.71726744514018
"Niederanven",2.75897969807392
"Sandweiler",2.93185419968304
"Schuttrange",2.49597423510467
"Steinsel",3.53929214157169
"Strassen",3.89032975175991
"Walferdange",3.169135377196
"Weiler-la-Tour",2.92682926829268
"Canton Mersch",4.19463087248322
"Bissen",3.4453781512605
"Boevange-sur-Attert",2.68691588785047
"Colmar-Berg",5.66666666666667
"Fischbach",3.19767441860465
"Heffingen",2.15827338129496
"Larochette",5.20951302378256
"Lintgen",4.36681222707424
"Lorentzweiler",3.80566801619433
"Mersch",4.73496128648005
"Nommern",3.99201596806387
"Tuntange",3.63636363636364
"Canton Clervaux",5.1890523651321
"Clervaux",5.54938956714761
"Parc Hosingen",4.52261306532663
"Troisvierges",5.39629005059022
"Weiswampach",5.75539568345324
"Wincrange",4.9273531269741
"Canton Diekirch",4.96749458243041
"Bettendorf",4.78821362799263
"Bourscheid",3.58361774744027
"Diekirch",5.7327258921792
"Erpeldange-sur-Sûre",3.74220374220374
"Ettelbruck",5.42061611374408
"Feulen",3.43283582089552
"Mertzig",3.47826086956522
"Reisdorf",7.0048309178744
"Schieren",5.73643410852713
"Vallée de l'Ernz",4.27807486631016
"Canton Redange",3.56478611283323
"Beckerich",4.70183486238532
"Ell",2.13270142180095
"Grosbous",3.77833753148615
"Préizerdaul",4.17362270450751
"Rambrouch",4.09511228533686
"Redange-sur-Attert",2.33977619532045
"Saeul",2.55474452554745
"Useldange",3.40557275541796
"Vichten",4.20792079207921
"Wahl",2.63929618768328
"Canton Vianden",7.05095213587236
"Putscheid",7.28643216080402
"Tandel",4.42477876106195
"Vianden",9.6816976127321
"Canton Wiltz",6.04890604890605
"Boulaide",6.46900269541779
"Esch-sur-Sûre",4.61538461538462
"Goesdorf",3.03030303030303
"Kiischpelt",6.40394088669951
"Lac de la Haute-Sûre",3.6624203821656
"Wiltz",8.21980018165304
"Winseler",4.35729847494553
"Canton Echternach",6.18111408996127
"Beaufort",6.71892497200448
"Bech",2.97766749379653
"Berdorf",7.83333333333333
"Consdorf",5.36912751677852
"Echternach",8.2737030411449
"Mompach",4.77386934673367
"Rosport",3.22209436133487
"Waldbillig",4.21052631578947
"Canton Grevenmacher",3.62479514123204
"Betzdorf",2.71691498685364
"Biwer",3.23943661971831
"Flaxweiler",2.74869109947644
"Grevenmacher",4.75173518419648
"Junglinster",2.87175452399685
"Manternach",2.45398773006135
"Mertert",5.71791613722999
"Wormeldange",2.95434198746643
"Canton Remich",4.08982561786476
"Bous",3.07692307692308
"Dalheim",3.57583230579531
"Lenningen",2.11161387631976
"Mondorf-les-Bains",4.59427207637232
"Remich",5.64285714285714
"Schengen",3.80794701986755
"Stadtbredimus",3.26086956521739
"Waldbredimus",5




