"Year - 2011"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",7.01793244822
"Canton Capellen",4.89163403739039
"Dippach",5.14184397163121
"Garnich",2.70588235294118
"Hobscheid",3.49406009783368
"Käerjeng",5.40856942168111
"Kehlen",3.76219228982815
"Koerich",3.1031031031031
"Kopstal",4.39297124600639
"Mamer",6.53381247958183
"Septfontaines",8.469945355191261
"Steinfort",4.76190476190476
"Canton Esch",8.927951388888889
"Bettembourg",6.00748013090229
"Differdange",10.9249529096857
"Dudelange",8.551773217886369
"Esch-sur-Alzette",12.7622755786286
"Frisange",4.21849648458626
"Kayl",8.098591549295779
"Leudelange",3.01556420233463
"Mondercange",4.63165572574763
"Pétange",9.097340124504811
"Reckange-sur-Mess",2.68872802481903
"Roeser",5.37313432835821
"Rumelange",9.78607191624943
"Sanem",6.22670807453416
"Schifflange",9.414556962025321
"Canton Luxembourg",6.63437204030618
"Bertrange",5.40738034344172
"Contern",3.97614314115308
"Hesperange",5.49630844954881
"Luxembourg",7.72206516887368
"Niederanven",3.31019754404698
"Sandweiler",5.12635379061372
"Schuttrange",3.57142857142857
"Steinsel",4.95307612095933
"Strassen",4.65484483850538
"Walferdange",5.46085858585859
"Weiler-la-Tour",2.19399538106236
"Canton Mersch",5.38037654982397
"Bissen",5.07841672890217
"Boevange-sur-Attert",3.23232323232323
"Colmar-Berg",5.77507598784195
"Fischbach",3.43347639484979
"Heffingen",4.17495029821074
"Larochette",6
"Lintgen",4.37452033768227
"Lorentzweiler",4.36827956989247
"Mersch",7.10925248301098
"Nommern",6.02409638554217
"Tuntange",3.43053173241853
"Canton Clervaux",6.2199036918138
"Clervaux",6.29699248120301
"Parc Hosingen",5.75988896599584
"Troisvierges",6.80173661360347
"Weiswampach",6.42458100558659
"Wincrange",5.97014925373134
"Canton Diekirch",7.24485981308411
"Bettendorf",6.83982683982684
"Bourscheid",5.68513119533528
"Diekirch",7.9776067179846
"Erpeldange-sur-Sûre",4.9951028403526
"Ettelbruck",8.383727322704781
"Feulen",5.23489932885906
"Mertzig",4.47585394581861
"Reisdorf",11.275415896488
"Schieren",7.76699029126214
"Vallée de l'Ernz",6.28768303186908
"Canton Redange",5.28192261983362
"Beckerich",5.24809160305344
"Ell",2.65151515151515
"Grosbous",6.55021834061135
"Préizerdaul",3.125
"Rambrouch",7.02054794520548
"Redange-sur-Attert",4.98251748251748
"Saeul",5.99369085173502
"Useldange",4.07358738501971
"Vichten",6.11854684512428
"Wahl",4.86486486486486
"Canton Vianden",7.25769407441433
"Putscheid",5.33049040511727
"Tandel",4.69644902634593
"Vianden",11.0179640718563
"Canton Wiltz",7.74996013394993
"Boulaide",6.74698795180723
"Esch-sur-Sûre",5.87155963302752
"Goesdorf",3.80348652931854
"Kiischpelt",7.57575757575758
"Lac de la Haute-Sûre",5.52407932011331
"Wiltz",10.8642972536349
"Winseler",5.4989816700611
"Canton Echternach",7.25016329196604
"Beaufort",8.65209471766849
"Bech",3.47490347490348
"Berdorf",7.4235807860262
"Consdorf",4.47761194029851
"Echternach",10.1632653061224
"Mompach",7.08333333333333
"Rosport",4.75184794086589
"Waldbillig",4.02384500745156
"Canton Grevenmacher",5.09499872199029
"Betzdorf",2.86713286713287
"Biwer",5.03311258278146
"Flaxweiler",3.19905213270142
"Grevenmacher",7.32984293193717
"Junglinster",3.38319088319088
"Manternach",4.32569974554707
"Mertert",8.22368421052632
"Wormeldange",4.96215306980656
"Canton Remich",5.33304544963835
"Bous",2.51396648044693
"Dalheim",4.99445061043285
"Lenningen",4.1405269761606
"Mondorf-les-Bains",6.83974038941588
"Remich",6.78642714570858
"Schengen",4.99279884781565
"Stadtbredimus",4.52261306532663
"Waldbredimus",4.0948275862069




