"Year - 2015"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",7.46459418264956
"Canton Capellen",5.11970152347394
"Dippach",5.6203605514316
"Garnich",3.2258064516129
"Hobscheid",4.73104342190538
"Käerjeng",5.92255125284738
"Kehlen",3.55555555555556
"Koerich",3.75802016498625
"Kopstal",5.24781341107872
"Mamer",5.10728316711998
"Septfontaines",6.56565656565657
"Steinfort",6.1054579093432
"Canton Esch",9.261052796900771
"Bettembourg",6.71316477768091
"Differdange",11.4253491801857
"Dudelange",8.525754884547069
"Esch-sur-Alzette",13.2390326575843
"Frisange",5.66037735849057
"Kayl",7.53768844221106
"Leudelange",3.50128095644748
"Mondercange",4.74528960223308
"Pétange",9.0455396132252
"Reckange-sur-Mess",3.16205533596838
"Roeser",4.84429065743945
"Rumelange",11.2130054189246
"Sanem",7.19910011248594
"Schifflange",8.61320539182088
"Canton Luxembourg",7.02839471464717
"Bertrange",5.35372848948375
"Contern",4.63398253861652
"Hesperange",5.85358398288247
"Luxembourg",7.89677362287433
"Niederanven",4.61997019374069
"Sandweiler",5.15463917525773
"Schuttrange",4.63576158940397
"Steinsel",5.20175012153622
"Strassen",5.95518867924528
"Walferdange",6.77458033573141
"Weiler-la-Tour",3.65111561866126
"Canton Mersch",5.61134911159492
"Bissen",5.82314881380302
"Boevange-sur-Attert",3.75360923965351
"Colmar-Berg",6.0665362035225
"Fischbach",4.22077922077922
"Heffingen",3.49417637271215
"Larochette",7.76699029126214
"Lintgen",5.84878744650499
"Lorentzweiler",4.69973890339426
"Mersch",6.44244433917575
"Nommern",4.83383685800604
"Tuntange",4.43213296398892
"Canton Clervaux",7.3443579766537
"Clervaux",9.245845760545381
"Parc Hosingen",6.34820867379007
"Troisvierges",7.6714188730482
"Weiswampach",7.69230769230769
"Wincrange",5.48780487804878
"Canton Diekirch",8.531162345214479
"Bettendorf",7.37704918032787
"Bourscheid",9.09090909090909
"Diekirch",9.120842937108989
"Erpeldange-sur-Sûre",5.73012939001848
"Ettelbruck",11.5113547376664
"Feulen",5.78158458244111
"Mertzig",4.9079754601227
"Reisdorf",12.568306010929
"Schieren",6.21707060063224
"Vallée de l'Ernz",6.05095541401274
"Canton Redange",6.02880156211862
"Beckerich",4.98154981549815
"Ell",4.27350427350427
"Grosbous",7.84313725490196
"Préizerdaul",4.76190476190476
"Rambrouch",8.648648648648649
"Redange-sur-Attert",4.88431876606684
"Saeul",5.44412607449857
"Useldange",4.4205495818399
"Vichten",6.09555189456343
"Wahl",6.54205607476636
"Canton Vianden",7.25126475548061
"Putscheid",4
"Tandel",6.08875128998968
"Vianden",10.2990033222591
"Canton Wiltz",8.69877785765636
"Boulaide",5.13833992094862
"Esch-sur-Sûre",6.81622088006903
"Goesdorf",6.50406504065041
"Kiischpelt",7.59753593429158
"Lac de la Haute-Sûre",7.55208333333333
"Wiltz",11.5842656080837
"Winseler",6.84410646387833
"Canton Echternach",7.54647297796381
"Beaufort",10.5560032232071
"Bech",2.62172284644195
"Berdorf",10.0391134289439
"Consdorf",4.8723897911833
"Echternach",9.24657534246575
"Mompach",4.5045045045045
"Rosport",5.43259557344064
"Waldbillig",6.47482014388489
"Canton Grevenmacher",5.0548064032805
"Betzdorf",3.37224383916991
"Biwer",3.8961038961039
"Flaxweiler",3.2258064516129
"Grevenmacher",6.46492434662999
"Junglinster",3.88871324691748
"Manternach",4.12621359223301
"Mertert",7.9476861167002
"Wormeldange",5.68978955572876
"Canton Remich",5.85320532672654
"Bous",2.84974093264249
"Dalheim",5.27448869752422
"Lenningen",5.91073582629674
"Mondorf-les-Bains",8.30532885261642
"Remich",7.74193548387097
"Schengen",3.81960423377819
"Stadtbredimus",5.72390572390572
"Waldbredimus",4.34782608695652




