"Year - 2012"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",7.18372428863639
"Canton Capellen",4.66778578004007
"Dippach",4.43293033966609
"Garnich",2.86368843069874
"Hobscheid",4.23497267759563
"Käerjeng",5.6221198156682
"Kehlen",3.56981473113421
"Koerich",3.37636544190665
"Kopstal",3.92313851080865
"Mamer",5.15665796344648
"Septfontaines",6.23441396508728
"Steinfort",5.14393581878244
"Canton Esch",9.05374737465289
"Bettembourg",7.03391759617573
"Differdange",11.1944604731679
"Dudelange",8.782689192316591
"Esch-sur-Alzette",12.7509760178472
"Frisange",4.4420941300899
"Kayl",7.58657150409728
"Leudelange",3.62790697674419
"Mondercange",4.09123823316437
"Pétange",9.52708276051691
"Reckange-sur-Mess",3.19917440660475
"Roeser",4.70809792843691
"Rumelange",10.062893081761
"Sanem",6.58473676225156
"Schifflange",8.426395939086291
"Canton Luxembourg",6.93693829316392
"Bertrange",5.53745928338762
"Contern",3.78737541528239
"Hesperange",5.45483715706722
"Luxembourg",8.06713848508034
"Niederanven",4.32989690721649
"Sandweiler",4.94350282485876
"Schuttrange",3.50500715307582
"Steinsel",4.14722654224987
"Strassen",5.34562211981567
"Walferdange",5.93846153846154
"Weiler-la-Tour",3.7199124726477
"Canton Mersch",5.57798713922536
"Bissen",6.4540059347181
"Boevange-sur-Attert",4.07766990291262
"Colmar-Berg",6.22448979591837
"Fischbach",4.42307692307692
"Heffingen",2.55905511811024
"Larochette",7.36738703339882
"Lintgen",5.19287833827893
"Lorentzweiler",3.85382059800664
"Mersch",6.85279187817259
"Nommern",4.24448217317487
"Tuntange",3.74149659863946
"Canton Clervaux",6.6675331427086
"Clervaux",7.97101449275362
"Parc Hosingen",5.7371581054036
"Troisvierges",7.37647877522617
"Weiswampach",5.28511821974965
"Wincrange",5.84380120152922
"Canton Diekirch",7.58154569497502
"Bettendorf",6.6557107641742
"Bourscheid",6.24113475177305
"Diekirch",8.85764499121265
"Erpeldange-sur-Sûre",4.75737392959087
"Ettelbruck",9.29035752979415
"Feulen",4.42132639791938
"Mertzig",4.9438202247191
"Reisdorf",10.0378787878788
"Schieren",7.18232044198895
"Vallée de l'Ernz",6.63308144416457
"Canton Redange",5.15692147415028
"Beckerich",4.71698113207547
"Ell",3.87453874538745
"Grosbous",5.06607929515418
"Préizerdaul",3.79008746355685
"Rambrouch",6.64772727272727
"Redange-sur-Attert",4.41558441558442
"Saeul",7.26744186046512
"Useldange",4.51612903225806
"Vichten",5.20231213872832
"Wahl",5.46875
"Canton Vianden",8.240035826242719
"Putscheid",4.42105263157895
"Tandel",4.72972972972973
"Vianden",13.9080459770115
"Canton Wiltz",8.18445564208276
"Boulaide",5.13392857142857
"Esch-sur-Sûre",6.04982206405694
"Goesdorf",4.16024653312789
"Kiischpelt",8.68686868686869
"Lac de la Haute-Sûre",6.00801068090788
"Wiltz",11.6306027820711
"Winseler",5.84677419354839
"Canton Echternach",7.2004092594961
"Beaufort",9.85790408525755
"Bech",2.51937984496124
"Berdorf",8.230452674897119
"Consdorf",4.33734939759036
"Echternach",9.706362153344211
"Mompach",5.5984555984556
"Rosport",4.84210526315789
"Waldbillig",4.29799426934097
"Canton Grevenmacher",5.05261399699349
"Betzdorf",2.46831220813876
"Biwer",3.50649350649351
"Flaxweiler",4.1002277904328
"Grevenmacher",6.51340996168582
"Junglinster",4.41892832289492
"Manternach",4.5
"Mertert",7.89613142554319
"Wormeldange",4.83870967741936
"Canton Remich",5.28846153846154
"Bous",2.24089635854342
"Dalheim",4.72527472527473
"Lenningen",2.75
"Mondorf-les-Bains",7.14285714285714
"Remich",8.560311284046691
"Schengen",4.13461538461539
"Stadtbredimus",4.14634146341463
"Waldbredimus",3.76569037656904




