"Year - 2013"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",7.94704442631462
"Canton Capellen",5.67477348593228
"Dippach",6.27407815079802
"Garnich",2.87686996547756
"Hobscheid",4.91694352159468
"Käerjeng",5.9931113662457
"Kehlen",4.36720142602496
"Koerich",4.42913385826772
"Kopstal",5.14018691588785
"Mamer",6.45060766593955
"Septfontaines",7.5187969924812
"Steinfort",6.94252873563218
"Canton Esch",10.0461245774195
"Bettembourg",6.74131627056673
"Differdange",13.2180753750457
"Dudelange",9.354069701441709
"Esch-sur-Alzette",13.8980986534948
"Frisange",4.51282051282051
"Kayl",8.62024333419622
"Leudelange",2.91970802919708
"Mondercange",4.58748221906117
"Pétange",10.6902467995249
"Reckange-sur-Mess",3.43781597573306
"Roeser",5.08849557522124
"Rumelange",11.2137203166227
"Sanem",7.24977986498386
"Schifflange",10.0245098039216
"Canton Luxembourg",7.60736016849988
"Bertrange",5.68787771062922
"Contern",4.62270564242012
"Hesperange",5.85999366487171
"Luxembourg",8.889042612064189
"Niederanven",3.6318407960199
"Sandweiler",5.12820512820513
"Schuttrange",3.46289752650177
"Steinsel",6.04982206405694
"Strassen",6.12552806276403
"Walferdange",5.8698296836983
"Weiler-la-Tour",3.77969762419006
"Canton Mersch",5.8951648032525
"Bissen",6.46108663729809
"Boevange-sur-Attert",4.12667946257198
"Colmar-Berg",7.15686274509804
"Fischbach",4
"Heffingen",4.07801418439716
"Larochette",6.92974013474495
"Lintgen",5.7204923968139
"Lorentzweiler",5.03926701570681
"Mersch",7.17111770524233
"Nommern",3.85906040268456
"Tuntange",3.37078651685393
"Canton Clervaux",7.20766129032258
"Clervaux",8.9238845144357
"Parc Hosingen",6.5203357004519
"Troisvierges",7.71369006254343
"Weiswampach",5.43046357615894
"Wincrange",6.03041426324069
"Canton Diekirch",8.30961866818441
"Bettendorf",7.78688524590164
"Bourscheid",7.3972602739726
"Diekirch",9.23129718599863
"Erpeldange-sur-Sûre",5.67644276253548
"Ettelbruck",10.0479744136461
"Feulen",4.36363636363636
"Mertzig",5.85161964472309
"Reisdorf",14.4194756554307
"Schieren",7.22477064220184
"Vallée de l'Ernz",6.77824267782427
"Canton Redange",5.99848139711465
"Beckerich",5.19962859795729
"Ell",3.97111913357401
"Grosbous",6.77966101694915
"Préizerdaul",4.53955901426719
"Rambrouch",8.2727780883175
"Redange-sur-Attert",5.23648648648649
"Saeul",7.57575757575758
"Useldange",5.1980198019802
"Vichten",4.45736434108527
"Wahl",7.23192019950125
"Canton Vianden",8.464912280701761
"Putscheid",5.95482546201232
"Tandel",5.06607929515418
"Vianden",13.3333333333333
"Canton Wiltz",8.605697151424289
"Boulaide",5.11727078891258
"Esch-sur-Sûre",6.48064806480648
"Goesdorf",5.02958579881657
"Kiischpelt",9.27835051546392
"Lac de la Haute-Sûre",5.54821664464993
"Wiltz",11.9459053343351
"Winseler",7.64705882352941
"Canton Echternach",8.334379314673029
"Beaufort",11.2663755458515
"Bech",2.9520295202952
"Berdorf",9.92167101827676
"Consdorf",4.37956204379562
"Echternach",11.8388934092758
"Mompach",5.09433962264151
"Rosport",4.84037075180227
"Waldbillig",5.72987721691678
"Canton Grevenmacher",5.14117839072956
"Betzdorf",3.33988212180747
"Biwer",4.32503276539974
"Flaxweiler",3.44827586206897
"Grevenmacher",7.06267539756782
"Junglinster",4.59459459459459
"Manternach",4.21179302045728
"Mertert",6.2955254942768
"Wormeldange",5.93080724876442
"Canton Remich",6.15642341116113
"Bous",3.87182910547397
"Dalheim",3.83771929824561
"Lenningen",5.01835985312117
"Mondorf-les-Bains",7.98258345428157
"Remich",9.51768488745981
"Schengen",4.70204841713222
"Stadtbredimus",6.24249699879952
"Waldbredimus",3.61702127659574




