"Year - 2014"

Measures,"Unemployment rate (in %)"
"Specification",
"Grand Duchy of Luxembourg",7.81403232641201
"Canton Capellen",5.54284525790349
"Dippach",6.45844362096347
"Garnich",2.19907407407407
"Hobscheid",4.20114576702737
"Käerjeng",6.49909420289855
"Kehlen",4.02121078214759
"Koerich",3.63636363636364
"Kopstal",4.58991723100075
"Mamer",6.07336139506915
"Septfontaines",7.76942355889724
"Steinfort",6.99530516431925
"Canton Esch",9.776013685082731
"Bettembourg",7.32083792723263
"Differdange",12.6088501866003
"Dudelange",9.36836221352711
"Esch-sur-Alzette",13.1797782470961
"Frisange",4.48362720403023
"Kayl",8.600206611570251
"Leudelange",2.99295774647887
"Mondercange",5.07042253521127
"Pétange",10.3271327774214
"Reckange-sur-Mess",3.67063492063492
"Roeser",4.7551954913702
"Rumelange",10.8723678556081
"Sanem",7.3174258857556
"Schifflange",9.30618044044518
"Canton Luxembourg",7.5651266808614
"Bertrange",5.65322302654257
"Contern",5.66166439290587
"Hesperange",6.15073185923388
"Luxembourg",8.60012554927809
"Niederanven",4.28927680798005
"Sandweiler",4.17236662106703
"Schuttrange",4.42477876106195
"Steinsel",5.24193548387097
"Strassen",6.33024783517468
"Walferdange",7.21679976338362
"Weiler-la-Tour",4.7008547008547
"Canton Mersch",5.98156220967627
"Bissen",5.94633792603336
"Boevange-sur-Attert",4.19847328244275
"Colmar-Berg",7.21153846153846
"Fischbach",3.90492359932088
"Heffingen",3.4965034965035
"Larochette",8.3495145631068
"Lintgen",6.28571428571429
"Lorentzweiler",5.530253741054
"Mersch",6.71917302485848
"Nommern",4.3343653250774
"Tuntange",4.78955007256894
"Canton Clervaux",6.98918045019276
"Clervaux",8.42474769635805
"Parc Hosingen",5.88980367321089
"Troisvierges",7.67620376831821
"Weiswampach",6.60146699266504
"Wincrange",5.84886128364389
"Canton Diekirch",8.28595201775066
"Bettendorf",8.22368421052632
"Bourscheid",9.338521400778211
"Diekirch",8.35306053432533
"Erpeldange-sur-Sûre",5.26802218114603
"Ettelbruck",10.4029496971293
"Feulen",3.96825396825397
"Mertzig",5.26838966202783
"Reisdorf",14.6520146520147
"Schieren",7.2905331882481
"Vallée de l'Ernz",7.14285714285714
"Canton Redange",5.70608065925833
"Beckerich",5.02846299810247
"Ell",4.3630017452007
"Grosbous",6.81818181818182
"Préizerdaul",5.47588005215124
"Rambrouch",7.43982494529541
"Redange-sur-Attert",4.52991452991453
"Saeul",6.97674418604651
"Useldange",4.89260143198091
"Vichten",5.69852941176471
"Wahl",4.66830466830467
"Canton Vianden",7.48502994011976
"Putscheid",7.44466800804829
"Tandel",4.65116279069767
"Vianden",10.5027932960894
"Canton Wiltz",8.745414526779159
"Boulaide",7.50507099391481
"Esch-sur-Sûre",5.93525179856115
"Goesdorf",4.97237569060774
"Kiischpelt",8.62422997946612
"Lac de la Haute-Sûre",7.52823086574655
"Wiltz",11.7013372956909
"Winseler",7.84313725490196
"Canton Echternach",7.83020042325408
"Beaufort",11.8600682593857
"Bech",2.68817204301075
"Berdorf",8.432147562582349
"Consdorf",5.978898007034
"Echternach",9.63207937164117
"Mompach",4.46096654275093
"Rosport",5.29661016949153
"Waldbillig",6.70886075949367
"Canton Grevenmacher",5.18754988028731
"Betzdorf",3.42377260981912
"Biwer",3.77113133940182
"Flaxweiler",2.98013245033113
"Grevenmacher",7.57299270072993
"Junglinster",3.76990575235619
"Manternach",3.54523227383863
"Mertert",7.72750381291307
"Wormeldange",6.22505985634477
"Canton Remich",6.12522211769625
"Bous",3.0690537084399
"Dalheim",4.93562231759657
"Lenningen",5.56900726392252
"Mondorf-les-Bains",9.12718204488778
"Remich",8.50383631713555
"Schengen",4.0949278734295
"Stadtbredimus",5.0887573964497
"Waldbredimus",4.95689655172414




